Order_Date,Sales,prev_month_sales,mom_growth_pct
2011-01,98902,,
2011-02,91152,98902.0,-7.84
2011-03,145726,91152.0,59.87
2011-04,116927,145726.0,-19.76
2011-05,146762,116927.0,25.52
2011-06,215214,146762.0,46.64
2011-07,115518,215214.0,-46.32
2011-08,207570,115518.0,79.69
2011-09,290230,207570.0,39.82
2011-10,199070,290230.0,-31.41
2011-11,298499,199070.0,49.95
2011-12,333941,298499.0,11.87
2012-01,135775,333941.0,-59.34
2012-02,100521,135775.0,-25.97
2012-03,163092,100521.0,62.25
2012-04,161060,163092.0,-1.25
2012-05,208370,161060.0,29.37
2012-06,256181,208370.0,22.95
2012-07,145247,256181.0,-43.3
2012-08,303158,145247.0,108.72
2012-09,289390,303158.0,-4.54
2012-10,252942,289390.0,-12.59
2012-11,323512,252942.0,27.9
2012-12,338245,323512.0,4.55
2013-01,199197,338245.0,-41.11
2013-02,167247,199197.0,-16.04
2013-03,198591,167247.0,18.74
2013-04,177835,198591.0,-10.45
2013-05,260525,177835.0,46.5
2013-06,396513,260525.0,52.2
2013-07,229940,396513.0,-42.01
2013-08,326491,229940.0,41.99
2013-09,376626,326491.0,15.36
2013-10,293423,376626.0,-22.09
2013-11,373996,293423.0,27.46
2013-12,405476,373996.0,8.42
2014-01,241267,405476.0,-40.5
2014-02,184848,241267.0,-23.38
2014-03,263110,184848.0,42.34
2014-04,242781,263110.0,-7.73
2014-05,288404,242781.0,18.79
2014-06,401843,288404.0,39.33
2014-07,258718,401843.0,-35.62
2014-08,456633,258718.0,76.5
2014-09,481186,456633.0,5.38
2014-10,422785,481186.0,-12.14
2014-11,555312,422785.0,31.35
2014-12,503154,555312.0,-9.39
